BibTeX_Key	Title	Year	Category	Venue	Entry_Type	Authors	DOI	URL	Code
SB24	Nondeterministic Causal Models	2024	Causal Graphs / Causal Reasoning	CoRR	article	Sander Beckers			
K22	Behaviour Explanation via Causal Analysis of Mental States: A Preliminary Report	2022	Causal Graphs / Causal Reasoning	CoRR	article	Shakil M. Khan	10.48550/arXiv.2205.07443	https://doi.org/10.48550/arXiv.2205.07443	
Beckers22	Causal Explanations and XAI	2022	Causal Graphs / Causal Reasoning	1st Conference on Causal Learning and Reasoning, CLeaR 2022, Sequoia Conference Center, Eureka, CA, USA, 11-13 April, 2022	inproceedings	Sander Beckers			
HalpernPeters22	Reasoning About Causal Models with Infinitely Many Variables	2022	Causal Graphs / Causal Reasoning	Proceedings of the 36th AAAI Conference on Artificial Intelligence	inproceedings	Joseph Y. Halpern; Spencer Peters			
KhanS18	Diagnosis as Computing Causal Chains from Event Traces	2018	Causal Graphs / Causal Reasoning	Proceedings of the AAAI Fall Symposium: Integrating Planning, Diagnosis, and Causal Reasoning (SIP-18)	inproceedings	Shakil M. Khan; Mikhail Soutchanski			
BatusovS18	Situation Calculus Semantics for Actual Causality	2018	Causal Graphs / Causal Reasoning	Proceedings of the Thirty-Second AAAI Conference on Artificial Intelligence, (AAAI-18), the 30th innovative Applications of Artificial Intelligence (IAAI-18), and the 8th AAAI Symposium on Educational Advances in Artificial Intelligence (EAAI-18), New Orleans, Louisiana, USA, February 2-7, 2018	inproceedings	Vitaliy Batusov; Mikhail Soutchanski			
GosslerSS17	Counterfactual Causality from First Principles?	2017	Causal Graphs / Causal Reasoning	Proceedings 2nd Intl. Workshop on Causal Reasoning for Embedded and safety-critical Systems Technologies, CREST@ETAPS 2017	inproceedings	Gregor Go\ssler; Oleg Sokolsky; Jean-Bernard Stefani			
BatusovS17	Situation Calculus Semantics for Actual Causality	2017	Causal Graphs / Causal Reasoning	Proceedings of the Thirteenth International Symposium on Commonsense Reasoning, COMMONSENSE 2017, London, UK, November 6-8, 2017	inproceedings	Vitaliy Batusov; Mikhail Soutchanski			
Halpern16	Actual Causality	2016	Causal Graphs / Causal Reasoning	MIT Press	book	Joseph Y. Halpern			
Wang15	A Hybrid Approach to Causality Analysis	2015	Causal Graphs / Causal Reasoning	RV 2015 â€“ 6th Intl. Conference on Runtime Verification	inproceedings	Shaohui Wang; Yoann Geoffroy; Gregor Go\ssler; Oleg Sokolsky; Insup Lee			
Halpern15	A Modification of the Halpern-Pearl Definition of Causality	2015	Causal Graphs / Causal Reasoning	Proceedings of the Twenty-Fourth International Joint Conference on Artificial Intelligence, IJCAI 2015, Buenos Aires, Argentina, July 25-31, 2015	inproceedings	Joseph Y. Halpern		http://ijcai.org/Abstract/15/427	
ChocklerFKL15	Causal Analysis for Attributing Responsibility in Legal Cases	2015	Causal Graphs / Causal Reasoning	Proceedings of the 15th International Conference on Artificial Intelligence and Law, ICAIL 2015, San Diego, CA, USA, June 8-12, 2015	inproceedings	Hana Chockler; Norman E. Fenton; Jeroen Keppens; David A. Lagnado	10.1145/2746090.2746102	https://doi.org/10.1145/2746090.2746102	
Leitner-FischerL13	Causality Checking for Complex System Models	2013	Causal Graphs / Causal Reasoning	Verification, Model Checking, and Abstract Interpretation, 14th International Conference, VMCAI 2013, Rome, Italy, January 20-22, 2013. Proceedings	inproceedings	Florian Leitner-Fischer; Stefan Leue	10.1007/978-3-642-35873-9\_16	https://doi.org/10.1007/978-3-642-35873-9\_16	
BeerBCOT12	Explaining Counterexamples using Causality	2012	Causal Graphs / Causal Reasoning	Formal Methods in System Design	article	Ilan Beer; Shoham Ben-David; Hana Chockler; Avigail Orni; Richard J. Trefler	10.1007/s10703-011-0132-2	https://doi.org/10.1007/s10703-011-0132-2	
HopkinsP07	Causality and Counterfactuals in the Situation Calculus	2007	Causal Graphs / Causal Reasoning	Journal of Logic and Computation	article	Mark Hopkins; Judea Pearl	10.1093/logcom/exm048	https://doi.org/10.1093/logcom/exm048	
Williamson06	Dispositional versus Epistemic Causality	2006	Causal Graphs / Causal Reasoning	Minds and Machines	article	Jon Williamson			
EiterL02	Complexity Results for Structure-based Causality	2002	Causal Graphs / Causal Reasoning	Artificial Intelligence	article	Thomas Eiter; Thomas Lukasiewicz	10.1016/S0004-3702(02)00271-0	https://doi.org/10.1016/S0004-3702(02)00271-0	
Halpern00	Axiomatizing Causal Reasoning	2000	Causal Graphs / Causal Reasoning	Journal of Artificial Intelligence Research	article	Joseph Y. Halpern	10.1613/jair.648	https://doi.org/10.1613/jair.648	
Pearl00	Causality: Models, Reasoning, and Inference	2000	Causal Graphs / Causal Reasoning	Cambridge University Press	book	Judea Pearl			
MorgensternS88	Why Things Go Wrong: A Formal Theory of Causal Reasoning	1988	Causal Graphs / Causal Reasoning	Proceedings of the 7th National Conference on Artificial Intelligence, St. Paul, MN, USA, August 21-26, 1988	inproceedings	Leora Morgenstern; Lynn Andrea Stein			
BhandariSS87	Optimal Diagnosis for Causal Chains	1987	Causal Graphs / Causal Reasoning	Carnegie Mellon Univ.	techreport	Inderpal S. Bhandari; Herbert A. Simon; Daniel P. Siewiorek			
Simon77	Causal Ordering and Identifiability	1977	Causal Graphs / Causal Reasoning	Models of Discovery. Boston Studies in the Philosophy of Science	article	Herbert A. Simon			
you2026agent	Agent-as-a-Judge	2026	Graph-Agent-LLM / Agentic AI	arXiv preprint arXiv:2601.05111	article	You, Runyang; Cai, Hongru; Zhang, Caiqi; Xu, Qiancheng; Liu, Meng; et al.			
